iter	RMSE
186	0.5831400909
187	0.5828205109
188	0.5821081058
189	0.5813073419
190	0.5806852789
191	0.5802699485
192	0.5798865262
193	0.5790429767
194	0.5787561419
195	0.577313114
196	0.5762759229
197	0.5750941105
198	0.5743623272
199	0.5738301258
200	0.5731244091
201	0.5727877946
202	0.5721826617
203	0.5717230249
204	0.5708691384
205	0.5700880794
206	0.5694495376
207	0.5688914997
208	0.5677043081
209	0.5672494037
210	0.5668722681
211	0.5663995136
212	0.5660319302
213	0.5652268149
214	0.5647820777
215	0.5640978375
216	0.5629350159
217	0.5622546188
218	0.5619467011
219	0.5614377614
220	0.5601208452
221	0.5593431861
222	0.558840653
223	0.558493208
224	0.5573695058
225	0.5563045553
226	0.5555847876
227	0.5550190416
228	0.5544919282
229	0.5538476075
230	0.5533522596
231	0.5528094178
232	0.5520700705
233	0.5513021541
234	0.5507661013
235	0.5503114979
236	0.5500381483
237	0.5497606218
238	0.5495300828
239	0.5487153712
240	0.5479946864
241	0.5477400816
242	0.547127995
243	0.5465356422
244	0.5460928834
245	0.5453531108
246	0.5447042557
247	0.5442801934
248	0.5441335601
249	0.543692827
250	0.5428835569
251	0.5423440297
252	0.54179489
253	0.5412825627
254	0.5411962581
255	0.5405623903
256	0.5400338841
257	0.5397965975
258	0.5388379998
259	0.5385635265
260	0.5379827614
261	0.5376269421
262	0.5375371206
263	0.5370303547
264	0.5364734284
265	0.5360474161
266	0.5358415841
267	0.5356441987
268	0.535250074
269	0.5351115591
270	0.5347241611
271	0.5344458611
272	0.5338872828
273	0.5331095042
274	0.5325022233
275	0.531935907
276	0.5316064472
277	0.531361455
278	0.5307595352
279	0.5303312037
280	0.5299213815
281	0.5294243047
282	0.5290357869
283	0.5283957506
284	0.5280504122
285	0.5272306124
286	0.5265321398
287	0.5258863957
288	0.5255222637
289	0.5251233644
290	0.5240564924
291	0.5235439648
292	0.5233813161
293	0.5230764993
294	0.5228457034
295	0.5225120386
296	0.522081754
297	0.5220146222
298	0.5217621536
299	0.5207181743
300	0.5202459991
301	0.5199381438
302	0.5193586137
303	0.5189269721
304	0.5187372909
305	0.5186335139
306	0.5182384722
307	0.5175258968
308	0.5170208682
309	0.5166295083
310	0.5158508607
311	0.5150986856
312	0.5144330917
313	0.5142004794
314	0.5135525859
315	0.5131618307
316	0.5126352179
317	0.5122952832
318	0.5119085997
319	0.511258267
320	0.5109624584
321	0.5107101907
322	0.5101733509
323	0.5096362019
324	0.5093095634
325	0.5091863081
326	0.508853472
327	0.5080084582
328	0.5075174124
329	0.5071872628
330	0.5070917116
331	0.5067304004
332	0.5064317821
333	0.5055670112
334	0.5055136433
335	0.5045826584
336	0.5043763761
337	0.5038971003
338	0.5030616262
339	0.5024890168
340	0.5019681881
341	0.5017217188
342	0.5011992646
343	0.5006209307
344	0.5004345109
345	0.499851811
346	0.4994097374
347	0.4989594361
348	0.4983988599
349	0.4979323578
350	0.4976194295
351	0.4973308051
352	0.4969811081
353	0.4967852752
354	0.4962848159
355	0.4956571135
356	0.4953507093
357	0.4950794123
358	0.4948800325
359	0.4944151977
360	0.4939009139
361	0.4935503443
362	0.4932245174
363	0.492310274
364	0.4920184222
365	0.4914637062
366	0.4912929919
367	0.4906959261
368	0.4899892155
369	0.4893331982
370	0.4891602662
371	0.4891122924
372	0.4888778094
373	0.4886099184
374	0.4882401292
375	0.4878288996
376	0.4872690624
377	0.4871501834
378	0.4865780572
379	0.4862666288
380	0.4857290939
381	0.4849834224
382	0.484086929
383	0.4837159848
384	0.482837054
385	0.4826453506
386	0.4821734903
387	0.4816686382
388	0.48102316
389	0.4808523727
390	0.480533665
391	0.4798428334
392	0.4794475901
393	0.4789271477
394	0.4784136712
395	0.4777895493
396	0.4775838098
397	0.4773089151
398	0.476828089
399	0.476312816
400	0.4761047961
401	0.4760636914
402	0.4756981807
403	0.4749931298
404	0.4747842799
405	0.4740218373
406	0.4734634329
407	0.4732967556
408	0.4728584088
409	0.4724939403
410	0.4716759335
411	0.4714889734
412	0.4712334201
413	0.4706434463
414	0.4702731783
415	0.4695526521
416	0.4694927605
417	0.4688952664
418	0.4684068109
419	0.4680497391
420	0.4675091404
421	0.4670568535
422	0.4664676826
423	0.4661497033
424	0.4659166517
425	0.4654133371
426	0.465211108
427	0.4647182455
428	0.4643180835
429	0.4635037555
430	0.4630064424
431	0.4624142718
432	0.4619903087
433	0.4617440472
434	0.4612291568
435	0.4608172373
436	0.4604326895
437	0.4599481301
438	0.4595401108
439	0.4592367243
440	0.4588671678
441	0.4584637652
442	0.4579922827
443	0.4576425616
444	0.4570114104
445	0.456717683
446	0.4564282187
447	0.4561686602
448	0.4557127389
449	0.4555026875
450	0.4550967961
451	0.4546659432
452	0.4544229973
453	0.4541481406
454	0.4538510565
455	0.4534290602
456	0.452931549
457	0.4525214509
458	0.4522249844
459	0.4519543214
460	0.4518959869
461	0.4514263973
462	0.4510564129
463	0.450654947
464	0.4505548757
465	0.4501956629
466	0.4497828649
467	0.4497427737
468	0.4493697235
469	0.4490912506
470	0.4485934467
471	0.4480690609
472	0.4475939548
473	0.4472839312
474	0.4469248214
475	0.4468928174
476	0.4468254587
477	0.4464691498
478	0.4460020556
479	0.4458546803
480	0.445257841
481	0.4450074103
482	0.4445200398
483	0.4442901765
484	0.4440629855
485	0.4435080696
486	0.4429589088
487	0.4428368279
488	0.4426079416
489	0.4421169703
490	0.441748267
491	0.4417205643
492	0.441321352
493	0.4410958969
494	0.4407059809
495	0.4402643373
496	0.4400157051
497	0.4396035269
498	0.4391762553
499	0.4389429336
500	0.4384213488
501	0.437849948
502	0.4376192231
503	0.4373640589
504	0.4370145115
505	0.436617984
506	0.4362761257
507	0.4355648773
508	0.435422302
509	0.4349812668
510	0.4347512742
511	0.4342623393
512	0.4337314204
513	0.4331549049
514	0.4328455701
515	0.4325754164
516	0.4324446574
517	0.4318426789
518	0.4314716178
519	0.4311706465
520	0.430853343
521	0.4305073192
522	0.430261147
523	0.4300646146
524	0.429762165
525	0.429359295
526	0.4291852074
527	0.4285664586
528	0.4285249369
529	0.4281478024
530	0.4281201016
531	0.4275654433
532	0.4272857323
533	0.4269576161
534	0.4268823293
535	0.4263865315
536	0.4262655545
537	0.4261717297
538	0.4259387476
539	0.4258697596
540	0.4256619343
541	0.4255726951
542	0.4253066551
543	0.4251176947
544	0.424769981
545	0.4246396779
546	0.4245616605
547	0.4242612076
548	0.4238795179
549	0.423680768
550	0.4235155833
551	0.4230506939
552	0.4226315611
553	0.4222070525
554	0.4217794131
555	0.4212874699
556	0.4207886272
557	0.4202583066
558	0.4198195292
559	0.419637667
560	0.4193511362
561	0.4191417612
562	0.4188669418
563	0.4184843003
564	0.4182204666
565	0.4179046464
566	0.4175846902
567	0.4170809331
568	0.4168575108
569	0.4165246222
570	0.4160997749
571	0.415556877
572	0.4152682664
573	0.4148839095
574	0.414247119
575	0.4136337644
576	0.4131031344
577	0.4127510623
578	0.4122842499
579	0.4120443715
580	0.4117334129
581	0.4113295044
582	0.4110772333
583	0.4107468672
584	0.410611998
585	0.4103097977
586	0.4100015751
587	0.409790668
588	0.4096553397
589	0.4095299436
590	0.4093677294
591	0.409135267
592	0.4087920211
593	0.4083869854
594	0.4079447146
595	0.4075139404
596	0.4074904922
597	0.4072267147
598	0.40700507
599	0.4066341494
600	0.4061902024
601	0.4061020049
602	0.4059067625
603	0.4052104896
604	0.4048801974
605	0.404389092
606	0.4039737774
607	0.4036105257
608	0.4032538428
609	0.4030957131
610	0.4030683673
611	0.4026916426
612	0.4018876542
613	0.4018617502
614	0.401625807
615	0.4013176179
616	0.4010486624
617	0.4008604121
618	0.400446068
619	0.3999949236
620	0.3997855438
621	0.3993681444
622	0.3990782364
623	0.3987487781
624	0.3981775835
625	0.3978346117
626	0.3976049548
627	0.3973303677
628	0.3969331898
629	0.3963947164
630	0.3961190936
631	0.3959588724
632	0.3956644567
633	0.3954010538
634	0.3950696614
635	0.3948740245
636	0.3945564344
637	0.3942977557
638	0.3941784061
639	0.3940395119
640	0.3935577275
641	0.3933398871
642	0.3931334343
643	0.392884099
644	0.3922768469
645	0.3919802024
646	0.3916528743
647	0.3914690525
648	0.3911228996
649	0.3909302562
650	0.3905673877
651	0.3900874971
652	0.3899063493
653	0.3896543986
654	0.3893199167
655	0.3891623866
656	0.3890689172
657	0.3887207679
658	0.3885655198
659	0.3883567049
660	0.3883359454
661	0.3883145653
662	0.3879978789
663	0.3875767987
664	0.3873529819
665	0.3869993037
666	0.3867262283
667	0.386449999
668	0.3862170721
669	0.385921631
670	0.3855459188
671	0.3855248091
672	0.3849699431
673	0.3848662014
674	0.3846155474
675	0.3840559416
676	0.3837976657
677	0.3834809285
678	0.3831623291
679	0.3827469195
680	0.3824731103
681	0.3822619712
682	0.3815849104
683	0.3809696973
684	0.3808010318
685	0.3804821117
686	0.3799330264
687	0.3793931012
688	0.379115892
689	0.3788823519
690	0.378634298
691	0.3786143495
692	0.3785951612
693	0.3782982725
694	0.3778485794
695	0.3775875052
696	0.3773990856
697	0.3770600659
698	0.3767637613
699	0.3765323399
700	0.376086877
701	0.3755193144
702	0.3748586184
703	0.3742834433
704	0.3742071783
705	0.3741573841
706	0.3736068333
707	0.3733770664
708	0.3730347531
709	0.3726600518
710	0.3724530807
711	0.3718775541
712	0.3716692779
713	0.3716245369
714	0.3712562834
715	0.371097553
716	0.3706335744
717	0.370303784
718	0.3699042828
719	0.3696744896
720	0.3692350507
721	0.3689096238
722	0.3687618576
723	0.3685242729
724	0.3682436523
725	0.3677995543
726	0.3675042486
727	0.3672078679
728	0.3669126315
729	0.3666527561
730	0.366412621
731	0.3661185684
732	0.3658193171
733	0.3655527906
734	0.3653210356
735	0.3651880687
736	0.3650282186
737	0.3648434585
738	0.3646014842
739	0.3644623362
740	0.3641832355
741	0.3640044407
742	0.3639725019
743	0.3638619667
744	0.3636433762
745	0.3632704529
746	0.3630884274
747	0.3629244984
748	0.3626087934
749	0.3624014097
750	0.3622228276
751	0.3620060333
752	0.3618377048
753	0.3616642032
754	0.3615622325
755	0.3610764406
756	0.3608052416
757	0.3606409605
758	0.3603752005
759	0.3600752959
760	0.3597578983
761	0.359601561
762	0.3592781362
763	0.3590567554
764	0.3588406347
765	0.358469696
766	0.3582303837
767	0.3579267771
768	0.3577491679
769	0.3576124124
770	0.3574125362
771	0.3571780845
772	0.3569232692
773	0.3566911481
774	0.3566769192
775	0.356561455
776	0.3563587279
777	0.3562260716
778	0.3561128493
779	0.3559407749
780	0.355733139
781	0.3554499043
782	0.355065848
783	0.3549579242
784	0.3547475547
785	0.3543907321
786	0.3542623495
787	0.3540462881
788	0.3537255062
789	0.3534404451
790	0.3530579504
791	0.3528624541
792	0.3526672901
793	0.3526519836
794	0.3521899873
795	0.3519716137
796	0.3518692739
797	0.3516714754
798	0.3514268446
799	0.351209065
800	0.3510730495
801	0.3508817039
802	0.3507161916
803	0.350381878
804	0.3501888399
805	0.350035622
806	0.3498876392
807	0.3494946253
808	0.3490771806
809	0.3489040817
810	0.3485008096
811	0.3481174197
812	0.3479359184
813	0.3476924201
814	0.3475361814
815	0.3472770261
816	0.3469032953
817	0.3466829243
818	0.3463950263
819	0.3461816527
820	0.3459771733
821	0.3456871182
822	0.345523583
823	0.3452905494
824	0.3448646207
825	0.3445044995
826	0.3442178384
827	0.3440750971
828	0.3439341896
829	0.3436408604
830	0.3433145995
831	0.3430951434
832	0.3428461042
833	0.3426858555
834	0.3423468865
835	0.3422726148
836	0.3420653066
837	0.341932919
838	0.3416858875
839	0.3413739686
840	0.3413428277
841	0.3410737035
842	0.3409635169
843	0.3406056085
844	0.340474229
845	0.3403060788
846	0.3400761596
847	0.3398862806
848	0.3397570904
849	0.3395235174
850	0.339365448
851	0.3390831715
852	0.3388483211
853	0.3384373825
854	0.3382286636
855	0.3376941369
856	0.3373546193
857	0.3370175251
858	0.3370062618
859	0.336747578
860	0.3364497263
861	0.3362163528
862	0.3359246894
863	0.3356912819
864	0.3353622365
865	0.3352626666
866	0.3350527731
867	0.3347388767
868	0.3345006657
869	0.3343686035
870	0.3341496
871	0.3339437652
872	0.3336793444
873	0.3334585389
874	0.3329466977
875	0.3325695291
876	0.3323882722
877	0.3321172786
878	0.3319897517
879	0.3317679991
880	0.3315612499
881	0.331227716
882	0.330937449
883	0.3305461816
884	0.3302781739
885	0.3300990223
886	0.3297178254
887	0.3294098539
888	0.3291014279
889	0.3288519332
890	0.3288362388
891	0.3285861405
892	0.3283881839
893	0.3282435356
894	0.3281684714
895	0.3278869838
896	0.3276554463
897	0.32727066
898	0.3270319168
899	0.3268126636
900	0.3267087354
901	0.3263837631
902	0.3261474566
903	0.3257575088
904	0.3254000612
905	0.3252314842
906	0.3247654056
907	0.3246101293
908	0.3243832069
909	0.324243774
910	0.3239831464
911	0.3237680335
912	0.3235757168
913	0.3232588775
914	0.3231099255
915	0.3230885801
916	0.3229406589
917	0.3226488169
918	0.3222445981
919	0.322014461
920	0.3220007546
921	0.3217293977
922	0.3213509625
923	0.3211169179
924	0.3208391872
925	0.3205735591
926	0.3203315501
927	0.3201053472
928	0.3200001083
929	0.3196128838
930	0.3194425018
931	0.3191545213
932	0.3189294415
933	0.3187369793
934	0.3184088742
935	0.3182258638
936	0.3180342161
937	0.3179619612
938	0.317669611
939	0.3172889297
940	0.3171702653
941	0.317089493
942	0.3167499166
943	0.3164833192
944	0.3162917666
945	0.3160553254
946	0.3158060305
947	0.3157059733
948	0.3156918681
949	0.3153592354
950	0.3152206135
951	0.3150699504
952	0.3148926894
953	0.3147039456
954	0.3145002504
955	0.3143592242
956	0.3139553084
957	0.3137385444
958	0.3135263445
959	0.3132463661
960	0.3129577572
961	0.3128338177
962	0.3126143592
963	0.3124454749
964	0.312136103
965	0.3119152608
966	0.3116881459
967	0.3115509423
968	0.3113238894
969	0.3110660645
970	0.3107360054
971	0.310602327
972	0.3104287172
973	0.3101343638
974	0.3098530402
975	0.3096683278
976	0.3094557775
977	0.3092265307
978	0.3090995145
979	0.3086571294
980	0.3084022423
981	0.3082113196
982	0.3081281963
983	0.3078548765
984	0.3076143107
985	0.3072748005
986	0.3070189642
987	0.3069656657
988	0.3067745086
989	0.3064530751
990	0.3063322328
991	0.3062541738
992	0.3059082193
993	0.3057352202
994	0.3054915976
995	0.3054327894
996	0.305149134
997	0.3049426479
998	0.3048393343
999	0.3046130893
